,over,rf_approx_sol,rf_approx_risk,rf_rf,rf_grf,rf_oracle,oracle
0,19.0,16.433380681687503,17.214630681687503,16.075,16.58125,17.010227273250003,26.737500000000004
0,9.0,14.71500771625,14.1875,14.506812700625,13.99375,14.1375,19.550000000000004
0,5.666666667,13.07083333345625,12.708901515838637,12.708901515838637,12.644375000132502,13.081250000087499,15.73750000014375
0,4.0,11.793368167375,11.409799382375,11.430755882375001,11.560408981,11.753549382375,13.425
0,3.0,10.8125,10.49375,10.5114062499375,10.61875,10.7125,12.162499999999998
0,2.333333333,9.356249999725,9.4166666664,9.4342147432242,9.4166666664,9.560416666399998,10.629166655486666
0,1.857142857,8.44999999984375,8.469642857,8.396428571274999,8.46874999985,8.6491071427125,9.398214285537502
0,1.5,7.8856913591249995,7.884894031125,7.899313798500001,7.899313798500001,7.8741489615,8.440624999999999
0,1.222222222,7.1465277774375,6.753472221850001,7.018055555200002,7.018055555200002,7.078472221875001,7.2097222217875
0,1.0,6.3,5.9940673721875,6.2875,6.3,6.3,6.775
0,0.818181818,5.807188684582994,5.288727318162055,5.844610420367841,5.626074938354474,5.567045454162501,6.021590908675001
0,0.666666667,5.0340508545746285,4.859675337956288,5.055709877287577,4.901618773849755,5.1229166674,5.091666667712501
0,0.538461538,4.5197115372875,4.326996353750057,4.522823276368565,4.505296791562237,4.505098823035636,4.689423075474999
0,0.428571429,3.9407714597741332,3.886867875545498,4.108104070986898,3.74732143029375,3.868889023787195,4.058928572987499
0,0.333333333,3.345833332075,3.1356853732921546,3.623961423100853,3.1708333317937503,3.095452401982167,3.4458333319375
0,0.25,2.4765625,2.525,2.832956316796875,2.628125,2.703125,2.8625000000000003
0,0.176470588,1.9253875899734716,1.941911763325,2.325970689480378,2.14919282645855,2.1102941164,2.265808806777574
0,0.111111111,1.495636573424211,1.3872358420655009,1.5566862810375417,1.40347222145625,1.4650406767895425,1.5777777770062502
0,0.052631579,0.8443649505940358,0.8243421057312499,1.0609835071151739,0.9449093987639543,0.8786184214875,0.9282894741375001
